epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,1416.94,0.96457,1.6087,1.50027,0.69944,0.42489,0.3728,0.2549,1.1658,2.07226,1.95823,0.000494778,0.000494778,0.000494778
3,2147.93,0.87365,1.36358,1.42971,0.41189,0.54687,0.43311,0.31822,1.06259,1.7537,1.83018,0.000376995,0.000376995,0.000376995
1,1222.07,1.2911,2.31237,1.78814,0.60825,0.67609,0.62782,0.38798,1.35526,2.20245,2.26309,0.000369238,0.000369238,0.000369238
2,2338.76,1.06605,1.56834,1.59303,0.70008,0.58246,0.55698,0.36265,1.26081,2.01362,2.11125,0.000702962,0.000702962,0.000702962
1,852.965,1.28286,2.30539,1.78954,0.61959,0.64284,0.64655,0.39494,1.2814,2.39972,2.26385,0.000369238,0.000369238,0.000369238
2,1555.44,1.06694,1.56832,1.5838,0.63919,0.69857,0.62764,0.34815,1.42416,1.79221,2.28243,0.000702962,0.000702962,0.000702962
3,2255.15,1.04063,1.36596,1.56945,0.73993,0.67912,0.66522,0.42989,1.35099,1.42948,2.20587,0.00100002,0.00100002,0.00100002
4,2986.96,1.00671,1.22249,1.55103,0.59504,0.75757,0.66815,0.4527,1.22439,1.27042,2.11035,0.000946016,0.000946016,0.000946016
5,3761.02,0.95976,1.10241,1.51528,0.688,0.76245,0.69878,0.47189,1.31418,0.95962,2.12242,0.000891022,0.000891022,0.000891022
6,4477.41,0.90865,1.01649,1.47599,0.74414,0.74731,0.6951,0.49398,1.20565,0.95057,2.06055,0.000836027,0.000836027,0.000836027
7,5185.36,0.90715,0.95712,1.49098,0.77451,0.76091,0.71061,0.49466,1.23651,0.82546,2.08364,0.000781033,0.000781033,0.000781033
1,1421.43,1.28286,2.30539,1.78954,0.61959,0.64284,0.64655,0.39494,1.2814,2.39972,2.26385,0.000369238,0.000369238,0.000369238
1,898.677,1.28286,2.30539,1.78954,0.61959,0.64284,0.64655,0.39494,1.2814,2.39972,2.26385,0.000369238,0.000369238,0.000369238
2,1831.36,1.038,1.54212,1.56538,0.65342,0.60672,0.61171,0.35764,1.37697,1.86377,2.17149,0.000593136,0.000593136,0.000593136
3,2775.67,0.98628,1.29793,1.53896,0.74804,0.72788,0.69487,0.46162,1.2452,1.3005,2.11957,0.000670382,0.000670382,0.000670382
4,3771.28,0.92258,1.12785,1.49713,0.72077,0.74286,0.71836,0.48963,1.27196,1.18086,2.14409,0.000451066,0.000451066,0.000451066
5,4737.44,0.84197,0.97793,1.44668,0.81866,0.81982,0.73355,0.50492,1.21627,0.92887,2.00241,0.000231088,0.000231088,0.000231088
